timestamp_ISO,id,sentence_count,sentence_length,sentence_time_in_ms,word_count,avg_word_length,avg_word_time_in_ms,words_per_minute
2021-05-16T12:46:19,3,1,36,6159,6,5,875,67
2021-05-16T12:46:29,3,2,46,9273,9,4,827,70
2021-05-16T12:46:38,3,3,42,9423,6,6,1366,43
2021-05-16T12:46:50,3,4,57,10696,10,4,816,66
2021-05-16T12:46:59,3,5,46,9215,9,4,782,70
2021-05-16T12:47:09,3,6,41,8628,7,5,1032,57
2021-05-16T12:47:16,3,7,39,6532,8,4,642,89
2021-05-16T12:47:24,3,8,31,6706,6,4,846,64
2021-05-16T12:47:33,3,9,50,9343,8,5,1018,59
