timestamp_ISO,id,sentence_count,sentence_length,sentence_time_in_ms,word_count,avg_word_length,avg_word_time_in_ms,words_per_minute
2021-05-15T11:59:35,1,1,36,8089,6,5,1180,51
2021-05-15T11:59:46,1,2,46,10740,9,4,951,60
2021-05-15T12:00:00,1,3,42,13578,6,6,1960,30
2021-05-15T12:00:12,1,4,57,11053,10,4,927,64
2021-05-15T12:00:29,1,5,46,12311,9,4,1164,53
2021-05-15T12:00:41,1,6,41,11376,7,5,1386,43
2021-05-15T12:00:51,1,7,39,8986,8,4,860,65
2021-05-15T12:00:59,1,8,31,7869,6,4,1000,54
2021-05-15T12:01:11,1,9,50,11637,8,5,1230,47
