timestamp_ISO,id,sentence_count,sentence_length,sentence_time_in_ms,word_count,avg_word_length,avg_word_time_in_ms,words_per_minute
2021-05-15T12:09:21,2,1,36,9492,6,5,1311,44
2021-05-15T12:09:30,2,2,46,8896,9,4,813,73
2021-05-15T12:09:40,2,3,42,8577,6,6,1266,47
2021-05-15T12:09:54,2,4,57,13482,10,4,1176,52
2021-05-15T12:10:02,2,5,46,8063,9,4,690,81
2021-05-15T12:10:19,2,6,41,16345,7,5,2091,30
2021-05-15T12:10:27,2,7,39,6880,8,4,695,85
2021-05-15T12:10:34,2,8,31,6731,6,4,908,63
2021-05-15T12:10:45,2,9,50,10498,8,5,1163,53
